Fire Hydrant Emergency (FHE),46015
Lead Kit Request (Residential) (L10),45955
E9 Snow / Icy Sidewalk,45844
Street Light Cycling,45289
ELECTRIC-WIRING,44899
"Rough, Pitted or Cracked Roads",44721
BATHTUB/SHOWER,43026
Billing Address Incorrect,41954
BATHTUB,40605
Blocked - Construction,40457
Engine Idling,40389
Hitting Building,38586
Out of Order,38361
Hydrant Leaking (WC1),37998
Double Parked Blocking Vehicle,37721
Food Stamp,37247
Structure - Outdoors,37206
Mouse Sighting,34648
REFRIGERATOR,34566
Copy of Statement,33852
2 Bulk-Missed Collection,33114
ELECTRIC/GAS RANGE,32322
COOKING GAS,31846
Car/Truck Horn,31794
RUBBISH,31735
SCRIE Assistance,31567
CABINET,31359
CABINETS,30684
Building Shaking/Vibrating/Structural Stability,30237
1R Missed Recycling-All Materials,30168
NO LIGHTING,29823
Other Issue,29819
Electrical Wiring Defective/Exposed,29689
Pedestrian Signal,29262
Waive Penalty for Late Payment,27698
Loud Television,27670
OUTLET/SWITCH,27523
No Certificate Of Occupancy/Illegal/Contrary To CO,27500
Noise: Jack Hammering (NC2),27368
Failure To Maintain,27330
Noise: air condition/ventilation equipment (NV1),27033
Hitting Power/Phone Lines,27007
E1 Improper Disposal,26934
"No Parking, Standing, Stopping",26812
LED Pedestrian Unit,26542
CERAMIC-TILE,26401
Hydrant Defective (WC2),26383
E12 Illegal Dumping Surveillance,26107
15S Re-Plow/Spread/Ice-Snow Cond.,26071
Cons - Contrary/Beyond Approved Plans/Permits,25858
LOCKS,25854
Unlicensed,25139
Tree Leaning/Uprooted,25019
ELECTRIC/GAS-RANGE,24795
Personal STAR Exemption,24357
Catch Basin Sunken/Damaged/Raised (SC1),24340
St Name - Attached to Pole,24083
BELL/BUZZER/INTERCOM,23747
Recycling Electronics,23397
E8 Canine Violation,23339
POWER OUTAGE,23152
10 Litter Basket / Request,22957
Congestion/Gridlock,22906
BELL-BUZZER/INTERCOM,22547
Payment Not Received from DHS,21971
Other/Unknown,21738
Noise: Alarms (NR3),21704
Planted More Than 2 Years Ago,21664
Blocking Street,21425
1 or 2,21387
Dead Branches in Tree,21285
Exchange/Refund/Return,21218
Personal SCHE Exemption,21103
Pothole - Highway,20695
Neglected,20545
Zoning - Non-Conforming/Illegal Vehicle Storage,20371
Rodents/Insects/Garbage,19533
Street Flooding (SJ),19457
Illegal. Commercial Use In Resident Zone,19094
Egress - Doors Locked/Blocked/Improper/No Secondary Means,18564
"Air: Odor/Fumes, Vehicle Idling (AD3)",18406
DAMP SPOT,18366
In Prohibited Area,18252
Curb Cut/Driveway/Carport - Illegal,18010
Water Meter Broken/Leaking - Private Residence (CMR),17852
8 Request to Clean Vacant Lot,17777
Possible Water Main Break (Use Comments) (WA1),17755
Broken Curb,17706
Manhole Cover Broken/Making Noise (SB),17407
No Water/Low Pressure (WA5),17381
Stop,17302
Lamppost Base Door/Cover Open,17237
Non-Delivery Goods/Services,17129
E2A Storage Of Receptacles,16991
LED Lense,16964
Multiple Street Lights Out,16657
Billing Name Incorrect,16649
Veh Signal Head,16557
Other Billing Issue,16376
People Created Noise,16303
SMOKE-DETECTOR,16259
WIRING,16205
Site Conditions Endangering Workers,16183
Sidewalk Shed/Pipe Scafford - Inadequate Defective/None,16168
Garbage or Litter,16141
1RG Missed Recycling Paper,15873
Overcharge,15844
Copy of Account Information,15838
Plate Condition - Noisy,15799
GAS,15785
Chemical Vapors/Gases/Odors,15753
Smoking Violation,15698
CARBON MONOXIDE,15550
STAIRS,15466
Initial - Construction,15457
Signs of Rodents,15437
"Building - Vacant, Open And Unguarded",15054
Street Cleaning - ASP,14854
Building Permit - None,14725
NO WATER - WNW,14623
Tree Alive - in Poor Condition,14486
Manhole Cover Missing (Emergency) (SA3),14331
Boiler - Defective/Inoperative/No Permit,14299
22 Weeds,14265
Overnight Commercial Storage,13769
False Advertising,13678
Wear & Tear,13658
Line/Marking - Faded,13578
Fence - None/Inadequate,13551
The ABCs of Housing,13437
Condo or Co-op Abatement,13273
Working Contrary To Stop Work Order,13270
"Noise, Ice Cream Truck (NR4)",13096
E10 Obstruction (Street/Sidewalk),13085
Remove Mortgage,13075
Debris - Falling Or In Danger Of Falling,12883
1RB Missed Recycling - M/G/Pl,12880
Other Water Problem (Use Comments) (WZZ),12734
Veh Signal Lamp,12705
Street Light Dayburning,12672
SEWER,12651
Hydrant Knocked Over/Missing (WC),12648
SCRIE Recertification,12353
Asbestos Complaint (B1),12348
Tenant and Landlord Disputes Brochure - English,12317
WINDOW PANE,12308
DOOR FRAME,12288
Personal DRIE Exemption,12007
"Air: Dust, Construction/Demolition (AE4)",11991
Damaged/Defective Goods,11943
Sewer Odor (SA2),11433
SMOKE DETECTOR,11289
VENTILATION SYSTEM,11136
Property Refunds and Credits,11082
Excessive Water In Basement (WEFB),10687
2R Bulk-Missed Recy Collection,10630
Trespassing,10595
Chemical Odor (HD1),10593
WINDOW GUARDS,10537
Defacement,10534
Inadequate or No Heat,10461
SRO - Illegal Work/No Permit/Change In Occupancy/Use,10429
6 Overflowing Litter Baskets,10359
E5 Loose Rubbish,10322
Timer Defect - Fast/Fail,10314
Unauthorized Bus Layover,10023
Other Housing Options,9953
Failure To Retain Water/Improper Drainage- (LL103/89),9926
Application Renewal,9900
Driver Report,9872
E2 Receptacle Violation,9826
WINDOW GUARD BROKEN/MISSING,9693
CARBON MONOXIDE DETECTOR,9539
WINDOW/FRAME,9313
"Air: Smoke, Chimney or vent (AS1)",9207
Other (Explain Below),9173
Fixture/Luminaire Door Open,9128
14B Derelict Bicycle,9117
Noise: Private Carting Noise (NQ1),9064
Plumbing-Defective/Leaking/Not Maintained,8995
Illegal Hotel Rooms In Residential Building,8992
Glassware Missing,8953
JANITOR-SUPER,8948
SHOWER-STALL,8822
No Status Call,8730
Other,8663
Post,8606
SEWAGE,8544
Status of Payment Adjustment,8442
HEAT RELATED,8371
Plumbing Work - Illegal/No Permit/Standpipe/Sprinkler,8255
Ventilation,8163
Car Service Company Complaint,8065
E11 Litter Surveillance,8060
Status of Hearing,8002
Plate Condition - Shifted,7959
"Air: Odor/Fumes, Restaurant (AD2)",7810
Credit Card Stuck in Meter,7650
Sidewalk Consultation,7584
HEAT-PLANT,7563
Base Door,7502
One Way,7433
Misapplied Payment,7425
Defective/Missing Curb Piece (SC4),7346
Sign/Awning/Marquee - Illegal/No Permit,7338
MAIL-BOX,7169
Gas Hook-Up/Piping - Illegal Or Defective,7112
Fixture/Luminaire Out Of Position,7108
Animal Waste,7105
Dismiss Violation Owner Fixed,7070
Grass/Weeds,7069
In Public,7014
Structure - Indoors,6982
Sewage Odor,6880
Card - No DOF Confirmation Number Issued,6876
Unauthorized Tree Removal,6806
Hydrant Locking Device Request (Use Comments) (WC5),6805
Contract Dispute,6793
FIRE ESCAPE,6722
Lease Expiring,6679
Advertising Sign/Billboard/Posters/Flexible Fabric - Illegal,6601
Mailed - Not Reflected,6470
Sidewalk Blocked,6457
Unleashed Dog in Public,6421
Status of PV Refund,6315
Miscellaneous,6308
Lamppost Leaning,6119
Heat Bulletin,6057
Food Spoiled,6057
Illegal Use Of A Hydrant (CIN),6053
Ped Multiple Lamps,6015
STEAM PIPE/RISER,5966
Aided/Injury,5947
"E4 18"" Law",5851
LOW WATER PRESSURE - WLWP,5847
Vent/Exhaust - Illegal/Improper,5818
3 Sweeping/Missed-Inadequate,5793
Tax Exemption,5712
Lamppost Wire Exposed,5711
Rodent Sighting,5667
Initial - CO,5647
Blocked Bike Lane,5576
Dumpster - Construction Waste,5530
Lamppost Knocked Down,5503
Obstructing Public Use,5494
Dog,5454
Other - Explain Below,5454
E6 Commercial Waste Disposal,5388
JANITOR/SUPER,5385
MAILBOX,5382
E3B Sidewalk Obstruction,5377
SCRIE Application Problem,5370
Dust from Construction,5318
Driver Compliment,5271
Rent Discrepancy,5224
Clear Street Light,5185
Copy of Approval Order,5180
Truck Route Violation,5164
Damaged Vehicle,5161
"Noise: Air Condition/Ventilation Equip, Commercial (NJ2)",5156
Lamppost Damaged,5144
Letter Grading,5107
Full Term Mobile Food Vendor License,5071
Unclean Condition,4990
Water Meter Broken/Leaking - Other (CMO),4899
Dog Off Leash,4891
Air: Other Air Problem (Use Comments) (AZZ),4890
Commercial Not For Profit Exemption,4877
Assisted Living,4862
Lease Renewal Question,4846
3A Sweeping/Missed,4839
Pigeon Waste,4838
Flood Light Lamp Out,4808
ER1 Resident Recyc. (Owner/Manager,4762
Fixture/Luminaire Hanging,4744
Manhole Overflow (Use Comments) (SA1),4671
Dead Animal,4653
Food Contains Foreign Object,4638
Bare Hands in Contact w/ Food,4627
MAINTENANCE,4537
Broken Glass,4534
Litter,4532
Personal Veteran Exemption,4531
Animal Odor,4504
Affecting Sewer or Foundation,4470
Street Light Lamp Dim,4456
Glassware Broken,4449
Veh Sgnl Mult Lamps,4422
Time Clock Maladjusted,4396
Veh Signal Visor,4387
Snow or Ice,4385
Insurance Information Requested,4343
Tree Trunk Split,4342
Vehicle Complaint,4325
Copy of Notice of Property Value,4321
Home Ownership Kit,4308
DRIE Exemption,4277
Unsafe Worksite,4271
Tortured,4264
Initial Application,4180
Curb Defect-Metal Protruding,4176
Vehicle Signal,4163
General Street Vendor License,4158
Traffic Sign or Signal Blocked,4149
Catch Basin Search (SC2),4128
Cable,4092
Unsecured Facility,4083
Decision and Order,4078
Food Contaminated,4053
Lost and Found,4021
Playing in Unsuitable Place,4018
Interest Dispute,4011
Swimming Pool - Unmaintained,3999
Personal DHE Exemption,3996
Status Call,3963
"Oil Spill On Street, Large (HQL)",3950
1RO Missed Recycling Organics,3854
No Water (WNW),3839
Graffiti or Vandalism,3830
Detached Trailer,3829
3 or More,3824
15I Street Condition Ice-Non Storm,3777
No Shelter,3747
SIGNAGE MISSING,3668
Ped Lamp,3652
Applied to Wrong Ticket,3648
Lamppost Base Door/Cover Missing,3647
Safety Netting/Guard Rails - Damaged/Inadequate/None (Over 6 Stories/75 Feet),3638
Re-Inspect - Rslve Objections,3629
Billing Dispute,3627
Hours of Operation,3624
Kitchen/Food Prep Area,3568
"Noise: Air Condition/Ventilation Equip, Residential (NJ1)",3547
Branches Damaged,3541
Defective Street Cut (WZZ1),3534
Plumbing Work - Unlicensed/Illegal/Improper Work In Progress,3533
Lease Already Expired,3516
Bus Stop,3501
Card - DOF Confirmation Number Issued,3494
Graffiti - Highway,3458
Wastewater Into Catch Basin (IEB),3448
Trunk Damaged,3413
Cigarette Sale to Minor,3405
Lamppost Base Door/Cover Damaged,3391
Curb Painted,3382
Facade - Defective/Cracking (Ll11/98),3357
Image of Ticket,3331
Underage - Licensed Est,3286
Street Light Feed,3253
Traffic Signal Light,3236
Cars Parked on Sidewalk/Street,3223
Other School Condition,3210
Catch Basin Grating Missing (SA4),3163
Lamppost Missing,3158
DOORS/FRAME,3129
E14 ASP/Restricted Parking,3120
Support Bracket,3096
Excavation Undermining Adjacent Building,3089
"Air: Smoke, Residential (AA1)",3083
E10 Street Obstruction,3057
Plate Condition - Open,3052
Fixture/Luminaire Damaged,3024
"Air: Smoke, Vehicular (AA4)",3018
Chained,3017
Housing Information Guide For Tenants and Owners Notice,2988
Unlicensed Vendors,2970
Manhole Sunken/Damaged/Raised (SB1),2952
FIRE-ESCAPE,2928
Lighting,2920
Parking Permit Improper Use,2911
Glassware Hanging,2871
Photocell (PEC) Missing,2857
Electrical - Unlicensed/Illegal/Improper Work In Progress,2792
Mitchell-Lama Housing List,2773
Wall/Retaining Wall - Bulging/Cracked,2773
Planted Less Than 2 Years Ago,2768
Home Improvement Contractor License,2765
Crane/Suspension Scaffold - No Permit/License/Cert./Unsafe/Illegal,2708
House,2685
Demolition - Unsafe,2684
Street Light Lamp Missing,2674
Puddle in Ground,2674
DOOR/FRAME,2652
Ped Flasher,2650
BBQ Outside Authorized Area,2624
ROOFING,2616
E1A Litter Basket / Improper Use,2615
Illegal Tow,2599
Cash Assistance,2595
Elevator Not Inspected/Illegal/No Permit,2593
Public Complaint - Comm Location,2589
Chemical Spill/Release (HA1),2587
Noise:  lawn care equipment (NCL),2585
New Con Ed Service Request,2561
Cat,2543
Highway Flooding (SH),2539
Noise: Manufacturing Noise (NK1),2498
Damaged Telephone,2473
Metal Protruding - Sign Stump,2466
Filing and Technical Issues,2433
Condo Billing Issue,2412
Card - Charged Twice,2408
St Name - Over Intersection,2408
Illegal Conversion Of Commercial Bldg/Space To Other Uses,2403
Snow Removal Requested,2398
Roots Damaged,2382
Settlement Reduction Not Shown,2373
Safety Netting/Guard Rails - Damaged/Inadequate/None (6 Stories/75 Feet Or Less),2364
Sidewalk Collapsed,2351
Line/Marking - After Repaving,2342
Chronic Stoplight Violation,2335
Contrary To LL 58/87(Handicapped Access),2335
Newspaper Box Complaint,2321
Sidewalk Grating - Defective,2319
Seasonal Mobile Food Vendor License,2254
The ABCs of Housing - Spanish,2252
Vehicle,2243
Use Indoor,2241
Injured Wildlife,2230
Inside Apartment,2216
ROOF,2215
Pet/Animal,2214
Plants- Odor Related Problems (PO1),2213
PAVEMENT,2181
Court Date Within 7 Days,2162
Flood Light Lamp Cycling,2137
Underground,2125
Suspended (Hanging) Scaffolds - No Pmt/Lic/Dangerous/Accident,2106
Temporary,2105
Food Worker Hygiene,2104
School Crossing,2102
Elevator - Dangerous Condition/Shaft Open/Unguarded,2096
Installation/Work Quality,2075
Chronic Speeding,2034
Update Tenant Information,2015
Door Open with Air Conditioning On,2002
Tenant and Landlord Disputes Brochure - Spanish,1992
Noise: Other Noise Sources (Use Comments) (NZZ),1988
C1 Request Xmas Trees Collection,1983
Personal Other Exemption,1970
Foreign Attachment On Lamppost,1970
Pedestrian Ramp Defective,1954
After Hours Work - Illegal,1932
Bicycle Chained to Tree,1917
Snow Emergency,1916
TAC Report,1897
Food Temperature,1878
Do Not Enter,1868
Failure to Comply with Vacate Order,1861
Registration Clearance Request,1833
Fixture/Luminaire Missing,1822
Sprinkler System - Inadequate,1820
ECR Commercial Routing Sticker,1820
Toilet Facility,1818
"Unsafe Chemical, Abandoned (HC2)",1809
"Wasting Faucets,Sinks,Flushometer,Urinal,Etc. - Private Residence (CWR)",1785
Harassment,1782
Multiple St Lts Dayburning,1755
Electronic Fund Transfer (EFT) Problem,1748
New Bus Stop Shelter Placement,1736
Painted Line/Marking,1730
Concrete In Catch Basin (IEA),1715
1C Uncollected Xmas Trees,1703
Smoking,1699
Status of Appeal,1695
Ready NY - English - Full Size,1690
HomeFirst Down Payment Information,1654
For Whole Block,1653
Large Number of Mosquitoes,1651
E13 Throw-Out,1626
Horn Honking Sign Requested (NR9),1601
Receipt Incomplete/Not Given,1583
Hurricane Preparedness - English,1571
Parking Card Stuck in Meter,1566
Lost Coin,1563
Cloudy Or Milky Water (QB1),1550
Property Address Incorrect,1543
3B Sweeping/Inadequate,1534
On Messenger,1529
Grease In Sewer/Catch Basin (IDG),1526
Air Conditioning Problem,1526
"Noise, Other Animals (NR6)",1525
Nursing Home,1519
Rodents/Mice,1514
Price Not Posted,1500
Permit/License/Certificate,1500
Food Service Establishment License,1495
"Oil Spill On Street, Small (HQS)",1485
Odor,1475
21 Collection Truck Noise,1472
SPRINKLER,1461
Debt Not Owed,1453
Heating Problem,1431
Investigative Inspection,1418
Wildlife Sighting,1417
No Permit or License,1407
BOILER,1402
Food Protection,1393
Culvert Blocked/Needs Cleaning (SE),1389
Oil Spill Into Basin/Sewer - Large (IABL),1386
Property Value Dispute,1362
Mast Arm,1359
Lights From Parking Lot Shining On Building,1355
ER2 Resident Recyc. (Tenant),1350
Electronics/Phones,1350
List of Outstanding Tickets,1330
Speed Limit,1316
ACRIS Incorrect,1313
Commercial ICIP or ICAP Exemption,1300
Drag Racing,1298
Landlord Requesting Additonal Rent,1289
Domestic Strays,1282
ELEVATOR,1270
"Unsafe Chemical, Storage (HC1)",1260
Police Report Requested,1240
Dirty/Graffiti,1220
Junction Box,1207
Food Preparation Location,1199
Sewage Leak,1198
Unsafe Use of Playground,1197
Commercial 421A Exemption,1192
Chemical Spill (IAC),1192
In Car,1189
City Rebate,1186
Full Term Mobile Food Unit Permit,1179
Enclosure Cap,1170
Over Capacity,1167
Natural Gas In Sewer/Catch Basin (IFB),1151
Container - Over 5 Gallons,1149
Payment Not Received from Tenant,1144
Bees/Wasps - Not a beekeper,1136
Sign - In Danger Of Falling,1121
Street Fair Vendor License,1121
Clear Water With Other Particles (Use Comments) (QEZ),1114
Adjacent Buildings Not Protected,1097
Bag/Wallet,1083
Use Outside,1080
Removing Wildlife,1072
Unauthorized Tree Pruning,1069
Re-Inspect - No Show,1052
Damaged Other,1048
General Complaint,1046
Handwashing,1027
Rooster,1023
Demand for Cash,1018
FDNY Referral - Pilot,1013
"Taste/Odor, Chemical (QA2)",1010
Landmark Bldg - Illegal Work,994
Privately Owned Public Space/Non-Compliance,994
Other Animal,986
Sewer Break (SBR),981
5 Un-Plowed/Spread Street,974
Re-Inspect - Unprepared,969
Cellar Door Open/Unprotected,944
Hummock,940
unknown odor/taste in drinking water (QA6),934
Apply Payment or Credit,933
Clothing Damage,922
Refund/Credit Info or Status,904
Loose Plate,895
Illness Caused by Drinking Water,894
Closed without Notice,889
Snow/Ice,876
Oil Spill Into Basin/Sewer - Small (IABS),874
ROOF DOOR/HATCH,872
Paid in Advance,864
Blocked - ATM,864
After Hours - Licensed Est,864
Property,861
"Noise: Boat(Engine,Music,Etc) (NR10)",855
Dishwashing/Utensils,852
Initial - BPP,846
Debris - Excessive,843
"Taste/Odor, Chlorine (QA1)",841
Posted Notice Or Order Removed/Tampered With,832
"Taste/Odor, Bitter/Metallic (QA3)",831
Adult Establishment,820
Plate Noisy/Sunken/Raised (SB5),816
Crash Cushion Defect,812
"Dirt, Debris, Litter Complaint",802
15R Street Cond/Ref.W Door,797
NYPD,780
"Air: Smoke, Commercial (AA2)",772
Beach/Pool Water,768
Guard Rail - Street,763
Scale Inaccurate/Broken,763
"Taste/Odor, Sewer (QA5)",762
"Air: Smoke, Other (Use Comments) (AA5)",760
Missing/Stump,737
"Taste/Odor, Musty/Stale (QA4)",734
"No Sampling Required, Requested Information (QG2)",728
Apartment,723
Stalled Construction Site,717
Bike Rack Repair,711
Mandatory Tip,711
Yield,709
Initial - PA,709
Ready NY My Emergency Plan - English,707
Contact Sign Not Posted,702
Building,701
Puddle on Roof,688
Veh Signal Sec Door,677
Illegal Conversion Of Manufacturing/Industrial Space,670
Push Button,668
Request To Open A Hydrant (WC4),664
ER6 Comm. Recyc. (Comm. Tenant),659
Hyd Valve Box Cover Missing (WV2),658
Swimming Pool Cover,652
Ready NY - English - Pocket Size,645
ER5 Comm. Recyc. (Bldg Mgmt),638
Facility Construction,636
Illegal Tree Removal/Topo. Change in SNAD,634
"Wasting Faucets,Sinks,Flushometer,Urinal,Etc. - Other (CWO)",631
"Cloudy Or Milky, Other (Use Comments) (QBZ)",629
Food Worker Activity,627
Construction,622
Dissatisfaction with Provider,616
Credit Card Limitations Not Posted,604
Plate Missing/Moved-Exposing Hole (SB4),592
Sewer or Drain,591
Commercial J51 Exemption,589
Vehicle Report,588
Rough Pavement,588
Temporary Food Service Establishment Permit,584
Graffiti/Litter on Phone,583
News Gathering,583
House/Property Damaged,576
Water Meter Stolen/Missing - Private Residence (CLR),573
Biking/Rollerblading off Path,572
10A Adopt-A-Basket,569
Structural Stability Impacted - New Building Under Construction,564
Blocked Crosswalk,557
Puddle on Sidewalk,557
Bent/Loose,557
Unenroll from Advantage Program,555
General Bad Condition,544
Door Lock,535
Finance Business Center - Not Reflected,528
Delays,516
Application Appeal,515
Status of Request to file Paper RPIE,510
Controller Cabinet,507
Ready NY Guide - Pocket Sized - English,505
Exit/Route,503
Nuisance/Truant,501
Status of Refund,499
Warning Signal,499
PORCH/BALCONY,496
Sign Missing or Defective,491
Vehicle Owner Address Update,489
Canopy Complaint,485
GUTTER/LEADER,482
Sidewalk Grating - Missing,481
Graffiti - Bridge,478
"Air: Dust, Residential (AE1)",478
Individual Process Server License,477
Car Service Company Report,473
Car Not Available,473
Possible Landlord Foreclosure,469
High Grass,458
Sidewalk Staircase,457
Rates Not Posted,456
Con Edison Referral,454
Petroleum Spill (HE1),453
Lead Kit Request (Non-Residential) (L11),453
Secondhand Dealer General License,453
Highway Fence,447
Facility Maintenance,447
Odor In Sewer/Catch Basin (ICB),440
High Water Pressure (WHP),440
Sewage,439
In-Line Fuse Missing,437
Cellar Door Defective,435
Material Storage - Unsafe,428
Mobile Senior,427
No Dial Tone,424
Pigeon Odor,420
Returning Payment,417
Tenant Refusal,413
Accident - Elevator,411
Police Report Not Requested,409
Incorrect Amount Paid,408
Rooftank Leak Or Overflow (CKO),407
Flashing Hazard,407
Plumbing Problem,404
Warning Signal Lamp,396
General Maintenance,396
General Inquiry,394
Home Improvement Salesperson License,393
Housing Education Program Course Guide,393
Returns Not Filed,387
Snow on Overpass,385
Commercial Green Roof or Solar Panel Exemption,383
Not Received - Vending Machine,377
Prohibited Item Sale to Minor,376
Gasoline Spill (IAA),376
RAIN LEADER,364
Conduit,362
Performance,362
Inadequate Support Shoring,360
Smoking Ban - Smoking on Construction Site,355
Remove Hydrant Locking Device (WC6),353
Secondhand Dealer Auto License,353
Dry Cleaning Vapors (PERC),353
"Air: Odor, Nail Salon (AD8)",353
Damaged/Defective Parts,346
SIGNAGE,340
Sway Bar,339
Ped Lens,338
Building Under Structural Monitoring,333
Full Term Tattoo License,326
"Other Water Waste Problem, (Use Comments) (CZZ)",321
Bracket Arm Loose,319
E30 Transfer Station,312
Commercial Other Exemption,311
Other Water Problem (Use Comments) (QZZ),309
Container - Under 5 Gallons,304
Street Cave-In / Depression (SG),302
Ready NY - Kids - Elementary School Students,301
SKYLIGHT,300
Tires,299
Payment Not Posted,299
Damaged Bench,297
Ready NY - Seniors and Disabled - English,297
Relocation of Bus Stop Shelter,296
Door,295
Labor violation,292
Foundation,292
Foreign Attachment On Wood Pole,291
Amount Owed Dispute,291
Flying Too Low,290
Building Foundation,285
CMU Communication,285
Tattoo Artist Unlicensed,284
Puddle on Driveway,282
Frozen Dessert Manufacturer License,282
Clothing/Glasses,282
Boiler - Fumes/Smoke/Carbon Monoxide,281
Food Worker Illness,279
Marshal - Not Reflected,279
Illegal Use Of Hose - Private Residence  (CCR),277
Dirty/Inadequate Equip./Facility,277
"Air: Dust, Commercial (AE2)",277
Hovering,276
Illegal Activity by Phone,274
Farm Animal,272
Ready NY - Flooding,271
DOOR TO DUMBWAITER,270
Electronic Sign - Overhead,266
"Oil, Grease In Water (QD1)",263
Stoop Line Stand License,260
Fallen Debris from Bridge,260
Noise: Loud Music/Nighttime(Mark Date And Time) (NP1),259
Speed Board Sign,258
Cigarette Retail Dealer License,257
Guard Rail - Bridge,252
"Air: Odor/Fumes, Private Carting (AD4)",250
Illegal Use Of Hose - Other (CCO),247
E7 Private Carter Spillage,247
Student Being Harassed,243
Non-Delivery of Papers,241
HPD Guide to Programs and Services,239
Senior Citizen Home Assistance Program (SCHAP) Loan,238
Construction - Change Grade/Watercourse,236
Phone Blocking Sidewalk,235
Pesticide,235
Locker Break-in/Incident,234
Newsstand License,231
New Lead Law Rights and Requirements,231
AIR-CONDITIONER,227
Chained Bike,225
Bracket Arm Missing,224
Beekeeping - Honeybees,223
Administration,223
Unlicensed Day Care,222
Barbershop License,221
Snake,220
Depression Maintenance,219
Process Server Organization License,218
Commercial 421B Exemption,218
Commercial CEP or CRP Exemption,216
Ready NY - Pets - English,214
Basement,211
Gender Pricing,210
"Air: Odor/Fumes, Dry Cleaners (AD1)",206
Student/Parent Rights,204
Plumbing,204
Payment Not Shown,203
Property - Other Billing Issue,201
Water,201
Personal Clergy Exemption,201
Detour,200
Hurricane Preparedness - Spanish,199
1L Missed Recycling Leaves,199
Non-Disclosure of Fees,198
Street Con Game,196
Improper Sale of Items,192
Trench (SZZ1),192
Ready NY - Spanish - Full Size,191
Dead End Signal,190
BBS Failure,190
Tow Truck Driver License,189
Maintenance Cover,188
Community Outreach,188
Roof Gutters,187
"Air: Odor, Sweet From Unknown Source (AZ1)",186
Defective Water Sampling Station (QSS),186
SMOKE-FUMES,186
Unauthorized Posting of Signs,185
Other Hazmat Problem (HZZ),185
Lost/Missing Person,183
Minor Received Tattoo,181
Ready NY - Kids - Middle and High School Students,181
Illegal/Unfair Booting,180
The ABCs of Housing - Chinese,179
Toxic Chemical/Material,178
Weather Head,176
Turtle Under 4 inches Long,175
Mandated Reporters,175
School Safety,173
Classroom Learning,173
Employment Agency License,168
Human Capital,166
Flood Light Lamp Missing,165
Unresolved Other Agency Charge,164
Fire Alarm Lamp Out,164
APS,163
Layaway Terms Not Provided,162
Damage Assessment Request (Disaster),162
Commercial UDAAP Exemption,161
Curb Violation,160
Sidewalk Cafe License,159
Flood Light Lamp Dayburning,159
Sightseeing Guide License,157
Flood Light Lamp Dim,156
Disbursement Form Request,154
Veh Signal Lens,154
Payment Misapplied,154
Ready NY My Emergency Plan - Spanish,153
6R Overflowing Recycling Baskets,151
ID Requirement Not Posted,151
Bracket Arm Broken,151
"Unsafe Chemical, Unknown (HC3)",149
Homestead,149
Sign,149
"Education Support, Policy, and Practice",148
Guard Rail - Highway,147
Staff/Supervision/Permits,147
Waterway-Oil/Gasoline (IHB),146
Fire Alarm Lamp Missing,146
Passing By,146
Safety Inspection-Retaining Walls (May 2005),145
installation of hydrant side post (WHFP),144
Fire Globe Missing,142
Damaged/Defective,142
Fountain - Over 5 Gallons,142
Unhealthy Condition in School,141
Office of Preventive Technical Assistance/OPTA,138
Noise: Vehicle (NR2),137
Fence,136
Bill Received in Error,136
Ready NY Beat the Heat - English,135
Allergy Information,134
Safety Equipment/Signs,134
