date_only,Resolution Description,count
2015-05-11,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,9
2015-05-19,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2015-05-22,The Police Department responded to the complaint and took action to fix the condition.,1
2015-05-23,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,6
2015-05-25,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2015-05-28,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-05-30,The Police Department responded to the complaint and took action to fix the condition.,3
2015-05-30,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2015-05-31,The Police Department responded to the complaint and took action to fix the condition.,8
2015-06-02,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-06-03,The Police Department responded to the complaint and took action to fix the condition.,4
2015-06-03,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2015-06-05,The Police Department responded to the complaint and took action to fix the condition.,3
2015-06-05,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-06-06,The Police Department responded to the complaint and took action to fix the condition.,3
2015-06-06,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,4
2015-06-07,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12
2015-06-08,The Police Department responded to the complaint and took action to fix the condition.,1
2015-06-13,The Police Department responded and upon arrival those responsible for the condition were gone.,1
2015-06-13,The Police Department responded to the complaint and took action to fix the condition.,2
2015-06-13,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-06-14,The Police Department responded to the complaint and took action to fix the condition.,6
2015-06-14,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2015-06-17,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-06-20,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-06-21,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-06-22,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,9
2015-06-23,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-06-25,The Police Department responded to the complaint and determined that police action was not necessary.,2
2015-06-25,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2015-06-26,The Police Department responded to the complaint and took action to fix the condition.,5
2015-06-26,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-06-27,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,17
2015-06-28,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2015-06-29,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,9
2015-07-02,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-07-05,The Police Department responded to the complaint and took action to fix the condition.,2
2015-07-06,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2015-07-07,The Police Department responded to the complaint and determined that police action was not necessary.,1
2015-07-07,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-07-08,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2015-07-10,The Police Department responded to the complaint and took action to fix the condition.,3
2015-07-11,The Police Department responded to the complaint and determined that police action was not necessary.,1
2015-07-11,The Police Department responded to the complaint and took action to fix the condition.,9
2015-07-11,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,4
2015-07-12,The Police Department responded to the complaint and took action to fix the condition.,2
2015-07-12,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,5
2015-07-13,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,1
2015-07-14,The Police Department responded to the complaint and took action to fix the condition.,7
2015-07-15,The Police Department responded to the complaint and took action to fix the condition.,4
2015-07-17,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,4
2015-07-18,The Police Department responded to the complaint and took action to fix the condition.,5
2015-07-23,The Police Department responded to the complaint and took action to fix the condition.,1
2015-07-24,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-07-25,The Police Department responded to the complaint and took action to fix the condition.,5
2015-07-25,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,26
2015-07-26,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,6
2015-07-30,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-07-31,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-08-01,The Police Department issued a summons in response to the complaint.,1
2015-08-01,The Police Department responded to the complaint and took action to fix the condition.,1
2015-08-01,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-08-07,The Police Department responded to the complaint and took action to fix the condition.,2
2015-08-07,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-08-08,The Police Department responded to the complaint and took action to fix the condition.,3
2015-08-08,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-08-12,The Police Department responded to the complaint and took action to fix the condition.,1
2015-08-13,The Police Department responded to the complaint and took action to fix the condition.,3
2015-08-15,The Police Department responded to the complaint and determined that police action was not necessary.,3
2015-08-15,The Police Department responded to the complaint and took action to fix the condition.,4
2015-08-15,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-08-16,The Police Department responded and upon arrival those responsible for the condition were gone.,2
2015-08-16,The Police Department responded to the complaint and took action to fix the condition.,2
2015-08-17,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-08-19,The Police Department responded to the complaint and took action to fix the condition.,3
2015-08-19,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-08-20,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2015-08-21,The Police Department responded to the complaint and took action to fix the condition.,6
2015-08-23,The Police Department responded to the complaint and took action to fix the condition.,3
2015-08-27,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,4
2015-08-28,The Police Department responded to the complaint and took action to fix the condition.,1
2015-08-28,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-08-29,The Police Department issued a summons in response to the complaint.,7
2015-08-29,The Police Department responded to the complaint and took action to fix the condition.,6
2015-08-29,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,6
2015-08-30,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,5
2015-09-01,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-09-04,The Police Department responded and upon arrival those responsible for the condition were gone.,2
2015-09-04,The Police Department responded to the complaint and took action to fix the condition.,1
2015-09-04,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2015-09-05,The Police Department responded and upon arrival those responsible for the condition were gone.,4
2015-09-05,The Police Department responded to the complaint and took action to fix the condition.,3
2015-09-05,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-09-06,The Police Department responded to the complaint and took action to fix the condition.,6
2015-09-06,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12
2015-09-07,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2015-09-08,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,4
2015-09-09,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2015-09-11,The Police Department issued a summons in response to the complaint.,1
2015-09-12,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2015-09-14,The Police Department responded to the complaint and took action to fix the condition.,1
2015-09-15,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,6
2015-09-17,The Police Department responded to the complaint and took action to fix the condition.,8
2015-09-19,The Police Department responded to the complaint and determined that police action was not necessary.,4
2015-09-19,The Police Department responded to the complaint and took action to fix the condition.,1
2015-09-19,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-09-20,The Police Department responded to the complaint and determined that police action was not necessary.,3
2015-09-20,The Police Department responded to the complaint and took action to fix the condition.,4
2015-09-20,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,4
2015-09-21,The Police Department responded and upon arrival those responsible for the condition were gone.,1
2015-09-23,The Police Department responded to the complaint and took action to fix the condition.,1
2015-09-24,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,4
2015-09-25,The Police Department responded to the complaint and took action to fix the condition.,8
2015-09-25,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2015-09-26,The Police Department responded to the complaint and determined that police action was not necessary.,3
2015-09-26,The Police Department responded to the complaint and took action to fix the condition.,5
2015-09-26,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,9
2015-09-27,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2015-09-28,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-09-29,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,4
2015-09-30,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-10-05,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,5
2015-10-09,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2015-10-11,The Police Department responded to the complaint and took action to fix the condition.,5
2015-10-11,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-10-12,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-10-13,The Police Department responded to the complaint and determined that police action was not necessary.,2
2015-10-13,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11
2015-10-14,The Police Department responded to the complaint and took action to fix the condition.,12
2015-10-14,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,4
2015-10-15,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,4
2015-10-16,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,4
2015-10-17,The Police Department responded and upon arrival those responsible for the condition were gone.,1
2015-10-19,The Police Department responded to the complaint and took action to fix the condition.,2
2015-10-21,The Police Department responded and upon arrival those responsible for the condition were gone.,3
2015-10-21,The Police Department responded to the complaint and took action to fix the condition.,4
2015-10-22,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,4
2015-10-27,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-10-29,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,5
2015-10-31,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-11-01,The Police Department responded to the complaint and took action to fix the condition.,3
2015-11-02,The Police Department responded and upon arrival those responsible for the condition were gone.,3
2015-11-02,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2015-11-05,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2015-11-07,The Police Department responded to the complaint and took action to fix the condition.,1
2015-11-07,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-11-08,The Police Department responded to the complaint and took action to fix the condition.,1
2015-11-08,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-11-15,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2015-11-16,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2015-11-17,The Police Department responded and upon arrival those responsible for the condition were gone.,1
2015-11-19,The Police Department responded to the complaint and took action to fix the condition.,1
2015-11-20,The Police Department responded and upon arrival those responsible for the condition were gone.,2
2015-11-20,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,4
2015-11-24,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-11-25,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2015-11-27,The Police Department responded and upon arrival those responsible for the condition were gone.,1
2015-11-27,The Police Department responded to the complaint and took action to fix the condition.,3
2015-11-27,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2015-11-29,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2015-12-02,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-12-03,The Police Department responded to the complaint and took action to fix the condition.,1
2015-12-04,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2015-12-06,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2015-12-08,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2015-12-14,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2015-12-15,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2015-12-16,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2015-12-17,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,5
2015-12-18,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,1
2015-12-19,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2015-12-20,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,9
2015-12-21,The Police Department responded to the complaint and took action to fix the condition.,2
2015-12-21,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2015-12-22,The Police Department responded to the complaint and took action to fix the condition.,1
2015-12-24,The Police Department responded to the complaint and took action to fix the condition.,1
2015-12-25,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2015-12-26,The Police Department responded to the complaint and took action to fix the condition.,3
2015-12-26,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2015-12-27,The Police Department responded to the complaint and took action to fix the condition.,1
2015-12-28,The Police Department responded to the complaint and took action to fix the condition.,1
2015-12-29,The Police Department responded to the complaint and took action to fix the condition.,1
2015-12-29,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2016-01-03,The Police Department responded to the complaint and took action to fix the condition.,3
2016-01-03,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,4
2016-01-04,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,4
2016-01-06,The Police Department responded to the complaint and took action to fix the condition.,1
2016-01-07,The Police Department responded to the complaint and took action to fix the condition.,1
2016-01-07,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2016-01-08,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2016-01-09,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-01-10,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-01-12,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-01-14,The Police Department responded and upon arrival those responsible for the condition were gone.,1
2016-01-14,The Police Department responded to the complaint and determined that police action was not necessary.,5
2016-01-14,The Police Department responded to the complaint and took action to fix the condition.,4
2016-01-15,The Police Department responded to the complaint and determined that police action was not necessary.,1
2016-01-15,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-01-16,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-01-17,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,9
2016-01-22,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-01-25,The Police Department responded to the complaint and took action to fix the condition.,1
2016-02-02,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2016-02-03,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-02-08,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-02-10,The Police Department responded to the complaint and determined that police action was not necessary.,1
2016-02-13,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2016-02-16,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,1
2016-02-19,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-02-21,The Police Department responded to the complaint and took action to fix the condition.,5
2016-02-24,The Police Department responded to the complaint and determined that police action was not necessary.,2
2016-02-24,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-02-25,The Police Department responded and upon arrival those responsible for the condition were gone.,1
2016-02-28,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-03-01,The Police Department responded to the complaint and determined that police action was not necessary.,1
2016-03-01,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-03-03,The Police Department responded to the complaint and determined that police action was not necessary.,2
2016-03-03,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-03-04,The Police Department responded and upon arrival those responsible for the condition were gone.,2
2016-03-05,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-03-08,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-03-09,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2016-03-11,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2016-03-12,The Police Department responded to the complaint and determined that police action was not necessary.,1
2016-03-12,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2016-03-15,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-03-16,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-03-17,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-03-18,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-03-19,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2016-03-20,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,5
2016-03-22,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2016-03-23,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-03-25,The Police Department responded to the complaint and took action to fix the condition.,1
2016-03-26,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-03-28,The Police Department responded to the complaint and took action to fix the condition.,2
2016-03-28,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-04-01,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,19
2016-04-01,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,1
2016-04-02,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10
2016-04-03,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-04-05,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-04-07,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,4
2016-04-08,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-04-08,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,1
2016-04-09,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2016-04-11,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-04-15,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-04-16,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-04-17,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2016-04-18,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2016-04-19,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11
2016-04-20,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2016-04-21,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2016-04-22,The Police Department responded to the complaint and took action to fix the condition.,8
2016-04-22,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2016-04-23,The Police Department responded to the complaint and took action to fix the condition.,5
2016-04-23,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2016-04-24,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-04-25,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11
2016-04-26,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2016-04-28,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2016-04-29,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-04-30,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2016-05-02,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-05-03,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,5
2016-05-04,The Police Department responded to the complaint and determined that police action was not necessary.,3
2016-05-04,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,18
2016-05-05,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2016-05-06,The Police Department responded and upon arrival those responsible for the condition were gone.,2
2016-05-06,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-05-07,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-05-08,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2016-05-09,The Police Department responded to the complaint and took action to fix the condition.,4
2016-05-09,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,5
2016-05-12,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,6
2016-05-17,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-05-18,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-05-19,The Police Department responded to the complaint and determined that police action was not necessary.,1
2016-05-19,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11
